time,data
2024/05/28 23:19:23.797969198,"[-1, 0, 2, 2, -7, -11, 0, 2]"
2024/05/28 23:19:23.812795496,"[-2, 5, 5, 0, 18, 2, -8, -3]"
2024/05/28 23:19:23.812821443,"[3, -4, 4, -7, -8, -1, -7, -1]"
2024/05/28 23:19:23.820258554,"[-3, -6, -4, -5, -4, 6, -4, -3]"
2024/05/28 23:19:23.820284541,"[1, 3, -7, 1, 3, -2, -2, -9]"
2024/05/28 23:19:23.835396775,"[4, -7, 0, 2, 3, -8, -4, -5]"
2024/05/28 23:19:23.835421500,"[-1, -11, -5, 9, 4, -4, -5, -6]"
2024/05/28 23:19:23.843644520,"[-7, -6, -2, 2, 7, -1, -4, -2]"
2024/05/28 23:19:23.843668897,"[-1, 2, 4, -7, 3, 0, 1, 5]"
2024/05/28 23:19:23.850496545,"[-2, 2, 0, -4, -10, 1, -2, 2]"
2024/05/28 23:19:23.850521755,"[-6, 6, 1, -2, 11, 8, 2, -1]"
2024/05/28 23:19:23.857930421,"[0, 13, 3, 6, -5, 3, 3, 1]"
2024/05/28 23:19:23.857955314,"[0, 3, -6, 15, 3, -2, 3, 4]"
2024/05/28 23:19:23.872785757,"[-1, -2, 2, 9, 5, 1, 4, 3]"
2024/05/28 23:19:23.872810511,"[3, 0, 8, 3, -10, -15, -7, 2]"
2024/05/28 23:19:23.880263503,"[0, -3, -3, -9, -9, -2, -2, 1]"
2024/05/28 23:19:23.880288243,"[3, 5, 9, -9, 2, 8, -1, 0]"
2024/05/28 23:19:23.895301971,"[1, -3, -1, -9, -7, 5, 2, 1]"
2024/05/28 23:19:23.895326609,"[1, -5, -15, 0, -11, -11, 1, 0]"
2024/05/28 23:19:23.903543122,"[2, -1, -3, -11, 10, 5, 2, 1]"
2024/05/28 23:19:23.903567671,"[-3, 3, 4, -1, 1, -3, -7, 0]"
2024/05/28 23:19:23.910340183,"[-5, -3, 5, 1, 2, 4, -1, 1]"
2024/05/28 23:19:23.910365192,"[-2, -4, -3, 1, 0, -5, 4, 5]"
2024/05/28 23:19:23.917817409,"[0, 0, 2, 2, -5, -4, 8, 0]"
2024/05/28 23:19:23.917841780,"[0, -7, -6, -8, -4, 7, 2, -4]"
2024/05/28 23:19:23.934271971,"[6, 0, -6, -4, 5, 3, -4, -3]"
2024/05/28 23:19:23.934285818,"[5, -1, -3, -5, 1, 7, -6, -6]"
2024/05/28 23:19:23.941003930,"[3, -4, -8, -1, -1, -11, -3, -4]"
2024/05/28 23:19:23.941017392,"[1, -7, 2, 6, 4, -2, 4, -5]"
2024/05/28 23:19:23.955357256,"[-6, 1, -1, -6, -6, -4, 2, -2]"
2024/05/28 23:19:23.955371707,"[-6, 7, 11, 2, -1, 2, 3, 2]"
2024/05/28 23:19:23.963513007,"[-9, 5, 5, 9, 0, 6, -4, 1]"
2024/05/28 23:19:23.963526655,"[-4, 7, -6, 2, -2, 1, -2, -1]"
2024/05/28 23:19:23.970365767,"[-1, -5, -9, -1, 2, 5, -1, -2]"
2024/05/28 23:19:23.970379269,"[6, -9, -1, -7, 4, 7, 0, -4]"
2024/05/28 23:19:23.977819494,"[2, 7, 8, -4, 6, -9, -2, -4]"
2024/05/28 23:19:23.977833003,"[1, 5, 3, -2, -6, -15, -10, 2]"
2024/05/28 23:19:23.992847795,"[-1, 0, 0, 0, -3, -6, -2, 6]"
2024/05/28 23:19:23.992869780,"[1, -1, -3, -17, -7, 1, -6, -1]"
2024/05/28 23:19:24.926885,"[2, -7, -8, 12, -1, 9, -1, -4]"
2024/05/28 23:19:24.940434,"[-2, -10, -7, 8, -2, 6, 0, -1]"
2024/05/28 23:19:24.15202571,"[1, 4, 0, -1, 1, -13, -1, 2]"
2024/05/28 23:19:24.15217471,"[-3, -3, 8, 19, -5, -11, 3, 1]"
2024/05/28 23:19:24.23526769,"[-1, 6, -3, -7, -11, -8, 0, 0]"
2024/05/28 23:19:24.23541726,"[-1, 7, 2, 4, 8, 7, 7, -5]"
2024/05/28 23:19:24.38509820,"[1, 5, 7, 5, -1, 12, 8, 1]"
2024/05/28 23:19:24.38530001,"[-5, -9, -12, -4, 2, 9, 3, -2]"
2024/05/28 23:19:24.39372475,"[-1, -6, 3, -1, -5, 3, -1, -3]"
2024/05/28 23:19:24.39386176,"[-2, -3, -6, 0, -2, 0, -5, -4]"
2024/05/28 23:19:24.52937442,"[1, -3, 6, -4, 2, 1, 4, 1]"
2024/05/28 23:19:24.52953208,"[1, 8, 5, -2, 8, -6, 0, 4]"
2024/05/28 23:19:24.61053188,"[-5, -5, -3, 28, 6, -3, 4, 7]"
2024/05/28 23:19:24.61068676,"[-2, -6, -7, -35, -13, -3, -2, -2]"
2024/05/28 23:19:24.75280202,"[4, 3, 8, 9, 0, 9, -6, -3]"
2024/05/28 23:19:24.75297960,"[3, 1, -6, 15, -14, -5, -4, -3]"
2024/05/28 23:19:24.83632896,"[-11, -11, -7, 29, -3, 4, -9, -1]"
2024/05/28 23:19:24.83651097,"[-1, 10, 9, -14, 7, 2, -5, 4]"
2024/05/28 23:19:24.98345263,"[2, 3, -3, -14, 4, -7, -4, -5]"
2024/05/28 23:19:24.98364349,"[-7, -9, 3, 29, 3, -1, 0, 3]"
2024/05/28 23:19:24.99138108,"[5, 0, 9, -11, 5, -12, -5, -1]"
2024/05/28 23:19:24.99157376,"[-6, -14, 0, 20, -1, -5, 3, 5]"
